,sentence_id,source,target
0,1090587:0,Just went here for my girlfriends 23rd bday.,Solo fui aquí para mis novias 23 cumpleaños.
1,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,"Si alguna vez ha estado a lo largo del río en Weehawken, tiene una idea de la vista superior que ofrece la casa de cartas."
2,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,Agregue a ese excelente servicio y excelente comida a un precio razonable y tendrá el comienzo de una gran velada.
3,1090587:3,The lava cake dessert was incredible and I recommend it.,El postre de pastel de lava fue increíble y lo recomiendo.
4,1661043:0,Pizza here is consistently good.,La pizza aquí es siempre buena.
5,1661043:1,Salads are a delicious way to begin the meal.,Las ensaladas son una forma deliciosa de comenzar la comida.
6,1661043:2,You should pass on the calamari.,Deberías dejar de lado los calamares.
7,1661043:3,It is thick and slightly soggy.,Es espeso y ligeramente empapado.
8,1661043:4,Decor is charming.,La decoración es encantadora.
9,1661043:5,Service is average.,El servicio es normal.
10,1349391:0,sometimes i get good food and ok service.,a veces obtengo buena comida y buen servicio.
11,1349391:1,"sometimes i get bad food and bad service, sometimes i get good good and bad service.","a veces obtengo mala comida y mal servicio, a veces obtengo un buen y un mal servicio."
12,1349391:2,it is not consistent.,no es consistente.
13,1349391:3,really depends on your luck!,realmente depende de tu suerte!
14,1357554:0,I started out with a Bombay beer which was big enough for two.,Empecé con una cerveza Bombay que era lo suficientemente grande para dos.
15,1357554:1,For dinner I had the chicken tikka-masala and some garlic naan.,Para la cena tuve el pollo tikka-masala y un poco de ajo naan.
16,1357554:2,MMmmm... it was delicious.,MMmmm ... estaba delicioso.
17,1357554:3,"Service was slow, but the people were friendly.","El servicio fue lento, pero la gente era amable."
18,1357554:4,It's a nice place to relax and have conversation.,Es un buen lugar para relajarse y conversar.
19,1357554:5,I can't wait to go back.,No puedo esperar a regresar.
20,1730014:0,"I went here with a friend on a whim, we went someplace else first and couldn't get a table.","Fui aquí con un amigo por capricho, fuimos a otro lugar primero y no pudimos conseguir una mesa."
21,1730014:1,"Service here was great, food was fantastic.","El servicio aquí fue excelente, la comida fue fantástica."
22,1730014:2,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.","El aperitivo de guacamole + camarones fue realmente genial, ambos tuvimos el filete, muy bueno, no me gustaron mucho las papas fritas que venían con, pero el filete estaba tan bueno, a ninguno de nosotros le importó."
23,1730014:3,Will absolutely visit again.,Lo visitaré de nuevo.
24,1730014:4,Maybe tomorrow ;-),Quizas mañana ;-)
25,1500453:0,Molto bene!,Molto bene!
26,1500453:1,This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,Esta trattoria pintoresca y romántica está en la parte superior de mi lista de restaurantes de Manhattan.
27,1500453:2,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.","La comida es deliciosa, desde los especiales hasta el menú regular, los platos nunca son una decepción."
28,1500453:3,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.","Ya sea el soufflé de porcini parmesean o el cordero glaseado con vinagre balsámico, seguramente te transportarán al norte de Italia con un bocado."
29,1500453:4,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.","Aunque las mesas pueden estar situadas cerca, la luz de las velas, la calidad de la comida y el servicio compensan en exceso."
30,1500453:5,A guaranteeed delight!,¡Un placer garantizado!
31,505535:0,this little place has a cute interior decor and affordable city prices.,este pequeño lugar tiene una bonita decoración interior y precios asequibles en la ciudad.
32,505535:1,"the pad se ew chicken was delicious, however the pad thai was far too oily.","el pollo pad se ew estaba delicioso, sin embargo, el pad thai era demasiado aceitoso."
33,505535:2,i would just ask for no oil next time.,La próxima vez solo pediría aceite.
34,1016296:0,I was very disappointed with this restaurant.,Me decepcionó mucho este restaurante.
35,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,Le pedí a un encargado del carrito un arroz envuelto en hojas de loto y ella respondió arroz y se marchó.
36,1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,Tuve que preguntarle tres veces antes de que finalmente regresara con el plato que pedí.
37,1016296:3,"Food was okay, nothing great.","La comida estaba bien, nada del otro mundo."
38,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,Chow divertido era seco; El cerdo shu mai era más grasoso de lo habitual y tenía que compartir la mesa con una familia ruidosa y grosera.
39,1016296:5,I/we will never go back to this place again.,Yo / nosotros nunca volveremos a este lugar de nuevo.
40,Z#3:0,"Excellent food, although the interior could use some help.","Excelente comida, aunque el interior le vendría bien un poco de ayuda."
41,Z#3:1,"The space kind of feels like an Alice in Wonderland setting, without it trying to be that.","El espacio se siente como un escenario de Alicia en el país de las maravillas, sin que intente ser eso."
42,Z#3:2,"I paid just about $60 for a good meal, though :)","Sin embargo, pagué alrededor de $ 60 por una buena comida :)"
43,Z#3:3,Great sake!,¡Buen amor!
44,PP#9:0,Way below average,Muy por debajo del promedio
45,PP#9:1,I think the pizza is so overrated and was under cooked.,Creo que la pizza está tan sobrevalorada y poco cocinada.
46,PP#9:2,Had no flavor and the staff is rude and not attentive.,No tenía sabor y el personal es grosero y poco atento.
47,PP#9:3,Would NEVER go back,NUNCA volvería
